"iso_code",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"BEL",643,993,444,688,75007,66330,70620,69018,24480,69248,21549,70805,63818,62076,63127,62459,64109,72199,81476,99968,97894,104418,113570,122903,152109,162225,189438,202579,49206,114655,250544,283915,264352,291698
"FIN",177317,119236,125899,119348,128554,132048,124549,132740,156845,147957,139090,140125,136474,143970,140279,149183,131471,132467,152343,181724,215006,202044,195599,187943,191409,208212,244062,212804,35626,44770,176524,200907,207546,227502
"FRA",138251,129612,124791,119187,115237,132280,118533,109737,112375,115779,123252,125359,125766,136364,143707,136223,134593,150942,173540,199279,206817,207673,219820,212936,246013,267505,309922,359973,89180,165274,371859,471094,498945,518202
"NLD",1275478,988851,1044004,1171302,1121585,1087017,1006153,968978,946526,970897,956839,1101480,1151416,1102407,1175604,1212486,1198728,1109922,1121447,1049672,933754,929480,984839,1113704,1265834,1346616,1378384,1464192,451518,740388,1724619,1809038,1829108,1837959
"IRL",0,0,0,0,0,0,0,0,1012,846,547,624,831,26961,35245,28077,29899,20461,20607,27418,27524,29336,42104,44378,52052,61857,67668,69277,20085,30585,85665,123238,122794,135708
"ISL",56,33,28,24,62,51,18,3,3533,2714,3062,5151,4182,91562,93749,102739,63459,25235,31692,37574,40193,42466,47089,48903,52445,66457,68205,70669,17756,35562,97648,97538,94999,105761
"ITA",213172,167243,180496,164349,200305,195137,196669,194860,196395,192671,187694,195500,206755,208034,199690,191026,185013,201730,217996,216766,223991,248926,279928,281628,341453,343809,375841,386727,80605,161564,337401,410617,484353,478190
"NOR",1557092,1651075,1661645,1482748,1707104,1884710,1990024,1952288,2091732,2055563,2300662,2394809,2296020,2200654,2285723,2473788,2310292,2116026,2260235,2420895,2463853,2477241,2532262,2651802,2557408,2439822,2355855,2350957,691742,422416,2273607,1817217,1602530,1540880
"PRT",6,0,0,61,100,6,0,21,1413,776,1427,610,869,14671,17421,15743,27911,19835,22447,21803,26213,24773,53910,79335,52011,49072,54208,52466,13956,24757,56151,73716,95184,101750
"CHE",36074,33158,31854,34666,89038,78638,80991,82453,91877,96401,101065,92031,85820,96834,102887,111958,110178,122834,134163,176550,184291,185195,208220,226086,234405,248409,286057,297736,79212,139483,311780,367659,384906,443670
"ESP",3,3,6,3,72127,80856,64168,59234,74721,66912,79224,77711,94103,121180,121218,133023,131324,141109,156883,154962,135890,134334,160172,180619,229117,254417,295416,296477,61087,105115,276856,333852,371948,394936
"GBR",368968,361297,407339,389924,384067,383426,380647,413441,493159,561812,530452,497576,590439,591297,590737,588805,539724,478902,529800,594662,614315,673264,723109,819616,905737,898842,886975,913932,255533,212215,790057,1004672,1156047,1118541
"SWE",3038262,2276078,2193737,1955260,2086984,2220779,2183957,2284986,2577709,2309639,2243705,2233658,2162910,2013126,2019178,1956623,1830515,1419246,1615452,1790358,1821574,1912204,1926639,1899784,1891691,1904330,1880787,1774734,428874,640465,1751402,1486259,1428028,1487736
"DEU",18128012,19814481,19351882,19794759,19199514,18443939,17882341,16112795,15665787,15001762,15111464,15342041,13936327,13183914,13524079,13747320,12828560,12448882,12731836,13093631,12727253,12352986,13130416,14047352,15018365,15419314,15932934,17045561,13137530,13442062,19730281,20304501,21217780,21494576
"AUT",224,97,102,243,33718,32473,33113,36094,33508,35615,31077,29545,32520,37388,34912,32820,33494,35136,50870,54409,62192,68350,71594,63718,64222,81661,92550,96698,26312,50144,106575,149403,172850,204271
"CAN",0,0,0,0,13132,14441,14433,19065,29650,35916,36512,33858,26183,27473,33053,31174,37339,40262,43752,57354,58698,64561,62424,66461,69857,81488,96519,98415,12182,10790,63195,94694,111635,129123
"USA",310229,296629,309796,289083,276846,282177,297597,292573,335915,348320,308625,312033,349345,377101,412925,357745,347473,360352,381516,408289,424575,452333,483282,576031,632378,709594,787206,836536,139782,199874,722571,969963,1140407,1235272
